date,open,high,low,close,volume
13/03/86,0.0548,0.0628,0.0548,0.0602,1031788800
14/03/86,0.0602,0.0634,0.0602,0.0623,308160000
17/03/86,0.0623,0.0639,0.0623,0.0634,133171200
18/03/86,0.0634,0.0639,0.0612,0.0618,67766400
19/03/86,0.0618,0.0623,0.0602,0.0607,47894400
20/03/86,0.0607,0.0607,0.0585,0.0591,58435200
21/03/86,0.0591,0.0602,0.0564,0.0575,59990400
24/03/86,0.0575,0.0575,0.0553,0.0559,65289600
25/03/86,0.0559,0.0569,0.0553,0.0569,32083200
26/03/86,0.0569,0.0591,0.0564,0.0585,22752000
27/03/86,0.0585,0.0596,0.0585,0.0596,16848000
31/03/86,0.0596,0.0596,0.058,0.0591,12873600
01/04/86,0.0591,0.0591,0.0585,0.0585,11088000
02/04/86,0.0585,0.0602,0.0585,0.0591,27014400
03/04/86,0.0596,0.0612,0.0596,0.0596,23040000
04/04/86,0.0596,0.0602,0.0596,0.0596,26582400
07/04/86,0.0596,0.0602,0.0575,0.0585,16560000
08/04/86,0.0585,0.0602,0.0585,0.0591,10252800
09/04/86,0.0591,0.0607,0.0591,0.0602,12153600
10/04/86,0.0602,0.0612,0.0591,0.0607,13881600
11/04/86,0.0612,0.0628,0.0612,0.0618,17222400
14/04/86,0.0618,0.0628,0.0618,0.0623,12153600
15/04/86,0.0623,0.0623,0.0602,0.0623,9302400
16/04/86,0.0623,0.065,0.0618,0.0645,31910400
17/04/86,0.0645,0.065,0.0645,0.065,22003200
18/04/86,0.065,0.065,0.0623,0.0628,21628800
21/04/86,0.0628,0.0634,0.0612,0.0628,22924800
22/04/86,0.0628,0.0628,0.0618,0.0618,15552000
23/04/86,0.0618,0.0623,0.0612,0.062,15609600
24/04/86,0.062,0.0693,0.0618,0.0682,62352000
25/04/86,0.0688,0.0755,0.0688,0.0725,85795200
28/04/86,0.0725,0.0736,0.072,0.0731,28886400
29/04/86,0.0731,0.0731,0.0704,0.0709,30326400
30/04/86,0.0709,0.0714,0.0677,0.0693,30902400
01/05/86,0.0693,0.0693,0.0671,0.0682,54345600
02/05/86,0.0682,0.0693,0.0677,0.0682,20246400
05/05/86,0.0682,0.0682,0.0677,0.0677,3254400
06/05/86,0.0682,0.0693,0.0682,0.0682,9734400
07/05/86,0.0682,0.0688,0.0671,0.0682,5155200
08/05/86,0.0682,0.0688,0.0677,0.0688,3542400
09/05/86,0.0688,0.0688,0.0682,0.0682,6076800
12/05/86,0.0682,0.0704,0.0682,0.0688,10483200
13/05/86,0.0688,0.0698,0.0688,0.0693,3830400
14/05/86,0.0693,0.0693,0.0688,0.0688,9302400
15/05/86,0.0688,0.0698,0.0688,0.0688,3801600
16/05/86,0.0688,0.0709,0.0688,0.0693,11952000
19/05/86,0.0693,0.0693,0.0677,0.0682,11001600
20/05/86,0.0682,0.0682,0.0671,0.0677,61977600
21/05/86,0.0677,0.0682,0.0666,0.0666,8092800
22/05/86,0.0666,0.0671,0.0666,0.0666,4406400
23/05/86,0.0666,0.0677,0.0666,0.0666,4089600
27/05/86,0.0666,0.0688,0.0666,0.0688,13881600
28/05/86,0.0688,0.0709,0.0688,0.0709,15523200
29/05/86,0.0709,0.0736,0.0704,0.0725,45676800
30/05/86,0.0731,0.0763,0.0731,0.0752,27072000
02/06/86,0.0752,0.0752,0.0731,0.0731,19728000
03/06/86,0.0731,0.0731,0.072,0.0731,5011200
04/06/86,0.0731,0.0736,0.072,0.0725,4723200
05/06/86,0.0725,0.0736,0.072,0.0736,13708800
06/06/86,0.0736,0.0736,0.0725,0.0736,3427200
09/06/86,0.0736,0.0736,0.0704,0.0704,12672000
10/06/86,0.0704,0.0704,0.0693,0.0704,3427200
11/06/86,0.0704,0.0704,0.0693,0.0704,2304000
12/06/86,0.0704,0.0704,0.0671,0.0677,13708800
13/06/86,0.0677,0.0682,0.0671,0.0677,7891200
16/06/86,0.0677,0.0682,0.0666,0.0671,9590400
17/06/86,0.0677,0.0693,0.0677,0.0682,13075200
18/06/86,0.0682,0.0682,0.0666,0.0677,4348800
